Number,SMILES,AW_ST_CMC/ mN/m,ref,Type_of_surfactant,DOI_1,DOI_2
142,CCCCCCCCCCCC[N+](CCCCCC[N+](CCCCCCCCCCCC)CCCCCCCCCCCC)CCCCCCCCCCCC.[Br-].[Br-],30.9,[38],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2015.05.054
143,CCCCCCCCC[N+]CCO.[Br-],30.0,[39],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2016.11.105
144,CCCCCCCCC[N+](CCO)CCO.[Br-],27.9,[39],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2016.11.105
145,CCCCCCCCC[N+](CCO)(CCO)CCO.[Br-],24.1,[39],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2016.11.105
146,CCCCCCCCC[N+]CCO.[I-],30.6,[39],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2016.11.105
147,CCCCCCCCC[N+](CCO)CCO.[I-],28.8,[39],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2016.11.105
148,CCCCCCCCC[N+](CCO)(CCO)CCO.[I-],28.4,[39],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2016.11.105
149,CCCCCCCCCCCC[N+](CC(=O)OCCCOC(=O)C[N+](CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],47.9,[40],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2017.05.092
150,CCCCCCCCCCCCCC[N+](CC(=O)OCCCOC(=O)C[N+](CCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],45.5,[40],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2017.05.092
151,CCCCCCCCCCCCCCCC[N+](CC(=O)OCCCOC(=O)C[N+](CCCCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],43.2,[40],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2017.05.092
152,CCCCCCCCCCCC[N+](CC(C[N+](CCCCCCCCCCCC)(C)C)OC(=O)C=C)(C)C.[Br-].[Br-],33.4,[41],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2013.12.079
153,CCCCCCCCCCCCCC[N+](CC(C[N+](CCCCCCCCCCCCCC)(C)C)OC(=O)C=C)(C)C.[Br-].[Br-],31.3,[41],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2013.12.079
154,CCCCCCCCCCCCCCCC[N+](CC(C[N+](CCCCCCCCCCCCCCCC)(C)C)OC(=O)C=C)(C)C.[Br-].[Br-],32.5,[41],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2013.12.079
155,C(C[N+](CCCCCCCCCCCC)(C)C)OC(=O)C=C.[Br-],43.1,[41],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2013.12.079
156,C(C[N+](CCCCCCCCCCCCCC)(C)C)OC(=O)C=C.[Br-],42.8,[41],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2013.12.079
157,C(C[N+](CCCCCCCCCCCCCCCC)(C)C)OC(=O)C=C.[Br-],43.2,[41],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2013.12.079
158,CCCCCCCCCCC(=O)OCC[N+](CC(O)C[N+](CCOC(=O)CCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],30.0,[42],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-000-0121-4
159,CCCCCCCCCCCCC(=O)OCC[N+](CC(O)C[N+](CCOC(=O)CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],32.0,[42],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-000-0121-4
160,CCCCCCCCCCCCCCC(=O)OCC[N+](CC(O)C[N+](CCOC(=O)CCCCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],30.0,[42],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-000-0121-4
161,CCCCCCCCCCC(=O)OCCCC[N+](CC(O)C[N+](CCCCOC(=O)CCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],34.0,[42],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-000-0121-4
162,CCCCCCCCC(=O)OCCCCCC[N+](CC(O)C[N+](CCCCCCOC(=O)CCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],34.0,[42],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-000-0121-4
163,CCCCCCCCCCCCC(=O)OCC[N+](C)(C)C.[Cl-],30.0,[42],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-000-0121-4
164,CCCCCCCCCCCCC(=O)NCC[N+](CC(O)C[N+](CCNC(=O)CCCCCCCCCCCC)(C)C)(C)C.[Cl-].[Cl-],33.0,[42],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-000-0121-4
165,CCCCCCCCCCCCC(=O)NCC[N+](C)(C)C.[Cl-],35.0,[42],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-000-0121-4
166,CCCCCCCCCC1=CC=C(C=C1)OCC(C[N+](C)(C)C)O.[Br-],29.5,[43],cationic,10.1016/j.ces.2022.118208,10.1002/cjoc.200590957
167,CCCCCCCCCCCC[N+](C)(CC[N+](CCCCCCCCCCCC)(C)C)C.[Br-].[Br-],31.5,[44],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2011.01.007
168,CCCCCCCCCCCC[N+](C)(C)CCNC(=O)CCN(CCC(NCC[N+](CCCCCCCCCCCC)(C)C)=O)CCN(CCC(NCC[N+](CCCCCCCCCCCC)(C)C)=O)CCC(NCC[N+](CCCCCCCCCCCC)(C)C)=O.[Br-].[Br-].[Br-].[Br-],47.6,[45],cationic,10.1016/j.ces.2022.118208,10.1021/la903672r
169,CCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CC[N+]2=C[N](CC(COCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],30.0,[46],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-013-1472-2
170,CCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CCC[N+]2=C[N](CC(COCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],36.1,[46],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-013-1472-2
171,CCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CC[N+]2=C[N](CC(COCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],43.5,[46],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-013-1472-2
172,CCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CCC[N+]2=C[N](CC(COCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],44.5,[46],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-013-1472-2
173,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CC[N+]2=C[N](CC(COCCCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],48.1,[46],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-013-1472-2
174,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=C[N+](=C1)CCC[N+]2=C[N](CC(COCCCCCCCCCCCCCCCC)O)C=C2.[Br-].[Br-],50.1,[46],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-013-1472-2
175,CCCCCCCCCCCC[N+](C)(C)CC(O)COC1=CC=C(C=C1)OCC(C[N+](CCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],40.2,[47],cationic,10.1016/j.ces.2022.118208,10.1080/01932690903192580
176,CCCCCCCCCCCCCC[N+](C)(C)CC(O)COC1=CC=C(C=C1)OCC(C[N+](CCCCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],41.1,[47],cationic,10.1016/j.ces.2022.118208,10.1080/01932690903192580
177,CCCCCCCCCCCCCCCC[N+](C)(C)CC(O)COC1=CC=C(C=C1)OCC(C[N+](CCCCCCCCCCCCCCCC)(C)C)O.[Cl-].[Cl-],43.3,[47],cationic,10.1016/j.ces.2022.118208,10.1080/01932690903192580
178,CCCCCCCCCCCC[N+](CCO)(CCO)CCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],35.6,[48],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2008.04.028
179,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],36.3,[48],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2008.04.028
180,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],36.0,[48],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2008.04.028
181,CCCCCCCCCCCC[N+](CCO)(CCO)CCCCCCCCCC[N+](CCO)(CCO)CCCCCCCCCCCC.[Br-].[Br-],36.3,[48],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2008.04.028
182,CCCCCCCCCCCC[N+]1(CCCC1=NCCC2=CC=CC=C2)C.[Br-],33.1,[49],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2015.11.047
183,CCCCCCCCCCCC[N+]1(CCCC1=NCCO)C.[Br-],33.9,[49],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2015.11.047
184,CCCCCCCCCCCC[N+]1(CCCC1=NC2=CC=C(C=C2)O)C.[Br-],29.0,[49],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2015.11.047
185,CCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCC.[Br-].[Br-],38.5,[50],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2015.02.005
186,CCCCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCCCC.[Br-].[Br-],38.6,[50],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2015.02.005
187,CCCCCCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCCCCCC.[Br-].[Br-],41.0,[50],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2015.02.005
188,CCCCCCCCCCCCCCCC[N+](CCC)(CCC)CCCC[N+](CCC)(CCC)CCCCCCCCCCCCCCCC.[Br-].[Br-],48.5,[50],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2015.02.005
189,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCC)O)CN3CCCCC3.[Br-],43.0,[51],cationic,10.1016/j.ces.2022.118208,10.1016/j.bmc.2005.07.031
190,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)O)CN3CCCCC3.[Br-],42.5,[51],cationic,10.1016/j.ces.2022.118208,10.1016/j.bmc.2005.07.031
191,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)O)CN3CCCCC3.[Br-],39.0,[51],cationic,10.1016/j.ces.2022.118208,10.1016/j.bmc.2005.07.031
192,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCC)O)CN3CCOCC3.[Br-],43.5,[51],cationic,10.1016/j.ces.2022.118208,10.1016/j.bmc.2005.07.031
193,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)O)CN3CCOCC3.[Br-],45.0,[51],cationic,10.1016/j.ces.2022.118208,10.1016/j.bmc.2005.07.031
194,C1=CC(=C(C2=C1C=CC=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)O)CN3CCOCC3.[Br-],47.5,[51],cationic,10.1016/j.ces.2022.118208,10.1016/j.bmc.2005.07.031
195,CCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCNC(=O)CCCCCCCC.[Cl-].[Cl-],32.3,[52],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2018.11.061
196,CCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCC.[Cl-].[Cl-],34.8,[52],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2018.11.061
197,CCCCCCCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(O)C[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCCC.[Cl-].[Cl-],37.5,[52],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2018.11.061
198,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(O)COCCCCCCCCCCCC.CO[S](=O)(=O)[O-],28.9,[53],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2012.01.040
199,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(C[N+](C)(C)CC(O)COCCCCCCCCCCCC)O.[Cl-].[Cl-],31.3,[53],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2012.01.040
200,CCCCCCCCCCCCOCC(O)C[N+](C)(C)CC(O)C[N+](CC(C[N+](C)(C)CC(O)COCCCCCCCCCCCC)O)(C)C.[Cl-].[Cl-].CO[S](=O)(=O)[O-],32.6,[53],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2012.01.040
201,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],44.4,[54],cationic,10.1016/j.ces.2022.118208,10.1080/01932691003756902
202,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],42.3,[54],cationic,10.1016/j.ces.2022.118208,10.1080/01932691003756902
203,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],40.4,[54],cationic,10.1016/j.ces.2022.118208,10.1080/01932691003756902
204,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)N=CC3=CC=CC=C3.[Br-],36.7,[54],cationic,10.1016/j.ces.2022.118208,10.1080/01932691003756902
205,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],45.2,[54],cationic,10.1016/j.ces.2022.118208,10.1080/01932691003756902
206,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],42.1,[54],cationic,10.1016/j.ces.2022.118208,10.1080/01932691003756902
207,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],39.2,[54],cationic,10.1016/j.ces.2022.118208,10.1080/01932691003756902
208,C1=CC=CC2=C1SC(=[N+]2CC(=O)OCCCCCCCCCCCCCCCCCC)N=CC3=CC=C(C=C3)OC.[Br-],39.1,[54],cationic,10.1016/j.ces.2022.118208,10.1080/01932691003756902
209,CCCCCCCCCCCC(=O)NCCC[N+](CC1=CC=CC=C1)(C)C.[Cl-],29.2,[55],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-016-1795-x
210,CCCCCCCCCCCCCC(=O)NCCC[N+](CC1=CC=CC=C1)(C)C.[Cl-],32.3,[55],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-016-1795-x
211,CCCCCCCCCCCCCCCC(=O)NCCC[N+](CC1=CC=CC=C1)(C)C.[Cl-],41.5,[55],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-016-1795-x
212,CCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],31.4,[56],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2017.12.105
213,CCCCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],30.0,[56],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2017.12.105
214,CCCCCCCCCCCCCCCCOC(=O)C[N+](C)(C)CCOCCO.[Cl-],27.7,[56],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2017.12.105
215,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Cl-],54.2,[57],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2014.01.032
216,CCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Cl-],31.5,[57],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2014.01.032
217,CCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Cl-],34.9,[57],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2014.01.032
218,CCCCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Br-],50.5,[57],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2014.01.032
219,CCCCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Br-],35.9,[57],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2014.01.032
220,CCCCCCCCCCCCOCC(O)C[N]1C=[N+](C=C1)CCC.[Br-],27.7,[57],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2014.01.032
221,C1=C(C(=CC(=C1)C=NC2=C[N+](=CC=C2)CC(=O)OCCCCCCCC)OC)O.[Br-],41.3,[58],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2011.09.032
222,C1=C(C(=CC(=C1)C=NC2=C[N+](=CC=C2)CC(=O)OCCCCCCCCCCCC)OC)O.[Br-],37.8,[58],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2011.09.032
223,C1=C(C(=CC(=C1)C=NC2=C[N+](=CC=C2)CC(=O)OCCCCCCCCCCCCCCCC)OC)O.[Br-],29.8,[58],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2011.09.032
224,C1(=CC=C[N+](=C1)CCCCCCCCCCCC)CO.[Br-],29.5,[59],cationic,10.1016/j.ces.2022.118208,10.1016/j.molliq.2019.111480
225,N(CCC[N+](C)(C)CCCC[N+](C)(C)CCCNC(=O)CCCCCCCC=CCCCCCCCC)C(=O)CCCCCCCC=CCCCCCCCC.[Br-].[Br-],32.9,[60],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-017-1969-1
226,N(CCC[N+](C)(C)CCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCC=CCCCCCCCC)C(=O)CCCCCCCC=CCCCCCCCC.[Br-].[Br-],30.3,[60],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-017-1969-1
227,C(O)(C)C[N+](CCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCC.[Br-].[Br-],29.9,[61],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2019.05.019
228,C(O)(C)C[N+](CCCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCCC.[Br-].[Br-],25.7,[61],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2019.05.019
229,C(O)(C)C[N+](CCCCCCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCCCCCC.[Br-].[Br-],30.7,[61],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2019.05.019
230,C(O)(C)C[N+](CCCCCCCCCCCCCCCC)CCCCC[N+](CC(C)O)CCCCCCCCCCCCCCCC.[Br-].[Br-],30.0,[61],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2019.05.019
231,C(O)(C)C[N+](CCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],29.0,[61],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2019.05.019
232,C(O)(C)C[N+](CCCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],28.0,[61],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2019.05.019
233,C(O)(C)C[N+](CCCCCCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],27.9,[61],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2019.05.019
234,C(O)(C)C[N+](CCCCCCCCCCCCCCCC)(CCCCC[N+](CC(C)O)(CCCCCCCCCCCCCCCC)CC(C)O)CC(C)O.[Br-].[Br-],27.9,[61],cationic,10.1016/j.ces.2022.118208,10.1016/j.colsurfa.2019.05.019
235,C1C[N+](CC[N+]1(C)CCCCCCCCCCCC)(CCCCCCCCCCCC)C.[Br-].[Br-],36.0,[62],cationic,10.1016/j.ces.2022.118208,10.1080/01932691.2017.1381916
236,C1C[N+](CC[N+]1(C)CCCCCCCCCCCCCC)(CCCCCCCCCCCCCC)C.[Br-].[Br-],35.0,[62],cationic,10.1016/j.ces.2022.118208,10.1080/01932691.2017.1381916
237,C1C[N+](CC[N+]1(C)CCCCCCCCCCCCCCCC)(CCCCCCCCCCCCCCCC)C.[Br-].[Br-],38.0,[62],cationic,10.1016/j.ces.2022.118208,10.1080/01932691.2017.1381916
238,C1=C(C=C(C=C1C)C(CCCCCCCC[N+](CCC[N+](C)(C)CCCCCCCCC(C2=CC(=CC(=C2)C)C)CCCCCCCCC)(C)C)CCCCCCCCC)C.[Br-].[Br-],45.8,[63],cationic,10.1016/j.ces.2022.118208,10.1039/c9sm01086f
239,C1=C(C=C(C=C1C)C(CCCCCCCC[N+](CCCCCC[N+](C)(C)CCCCCCCCC(C2=CC(=CC(=C2)C)C)CCCCCCCCC)(C)C)CCCCCCCCC)C.[Br-].[Br-],44.7,[63],cationic,10.1016/j.ces.2022.118208,10.1039/c9sm01086f
240,CCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCC.[Br-].[Br-],33.2,[64],cationic,10.1016/j.ces.2022.118208,10.5650/jos.59.647
241,CCCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCCC.[Br-].[Br-],34.0,[64],cationic,10.1016/j.ces.2022.118208,10.5650/jos.59.647
242,CCCCCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCCCCC.[Br-].[Br-],37.5,[64],cationic,10.1016/j.ces.2022.118208,10.5650/jos.59.647
243,CCCCCCCCCCCCCCCC(=O)N[N+](C)(C)CCC[N+](C)(C)NC(=O)CCCCCCCCCCCCCCC.[Br-].[Br-],38.2,[64],cationic,10.1016/j.ces.2022.118208,10.5650/jos.59.647
244,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCC.[Br-].[Br-],31.5,[65],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2015.02.011
245,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCC.[Br-].[Br-],30.0,[65],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2015.02.011
246,CCCCCCCCCCCCCC(=O)OCC[N+](C)(CCO)CCCCCCCCCCCC[N+](C)(CCO)CCOC(=O)CCCCCCCCCCCCC.[Br-].[Br-],29.2,[65],cationic,10.1016/j.ces.2022.118208,10.1016/j.jiec.2015.02.011
247,C1=CC(=CC=C1OC(=O)C[N+](C)(C)CCCCCCCCCCCC)OC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],37.8,[66],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1777-4
248,C1=CC(=CC=C1OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)OC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],37.7,[66],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1777-4
249,C1=CC(=CC=C1COC(=O)C[N+](C)(C)CCCCCCCCCCCC)COC(=O)C[N+](C)(C)CCCCCCCCCCCC.[Cl-].[Cl-],41.1,[66],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1777-4
250,C1=CC(=CC=C1COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC)COC(=O)C[N+](C)(C)CCCCCCCCCCCCCC.[Cl-].[Cl-],40.9,[66],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1777-4
251,CCCCCCCCCCCCCCCCCC(=O)OCC[N+](CCO)(C)CCOC(=O)CCCCCCCCCCCCCCCCC.CO[S](=O)(=O)[O-],30.0,[67],cationic,10.1016/j.ces.2022.118208,10.1108/00368791011064437
252,C1(=C(C=CC(=C1)C=NCC[N+](C)(C)CCCCCCCC)OC)OC.[Br-],34.7,[68],cationic,10.1016/j.ces.2022.118208,10.1002/jsde.12318
253,C1(=C(C=CC(=C1)C=NCC[N+](C)(C)CCCCCCCCCCCC)OC)OC.[Br-],32.8,[68],cationic,10.1016/j.ces.2022.118208,10.1002/jsde.12318
254,C1(=C(C=CC(=C1)C=NCC[N+](C)(C)CCCCCCCCCCCCCCCC)OC)OC.[Br-],36.7,[68],cationic,10.1016/j.ces.2022.118208,10.1002/jsde.12318
255,C1=CC=CC=C1OCC(=O)NCC[N+](C)(C)CC(=O)NCCCCCCCCCCCC.[Cl-],35.8,[69],cationic,10.1016/j.ces.2022.118208,10.1039/C4RA14645J
256,C1=CC=CC=C1OCC(=O)NCC[N+](C)(C)CC(=O)NCCCCCCCCCCCCCC.[Cl-],37.8,[69],cationic,10.1016/j.ces.2022.118208,10.1039/C4RA14645J
257,C1=CC=CC=C1OCC(=O)NCC[N+](C)(C)CC(=O)NCCCCCCCCCCCCCCCC.[Cl-],39.8,[69],cationic,10.1016/j.ces.2022.118208,10.1039/C4RA14645J
258,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCC.[Cl-],39.0,[70],cationic,10.1016/j.ces.2022.118208,10.1021/la026286y
259,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCCCC.[Cl-],39.6,[70],cationic,10.1016/j.ces.2022.118208,10.1021/la026286y
260,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCCCCCC.[Cl-],39.9,[70],cationic,10.1016/j.ces.2022.118208,10.1021/la026286y
261,C1=CC=CC=C1C[N+](C)(C)CCNC(=O)CCCCCCCCCCCCCCCC.[Cl-],42.2,[70],cationic,10.1016/j.ces.2022.118208,10.1021/la026286y
262,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],38.0,[71],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1749-8
263,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],36.0,[71],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1749-8
264,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],39.0,[71],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1749-8
265,CCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCCCCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCC.[Cl-].[Cl-],37.0,[71],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1749-8
266,CCCCCCCCCCCC(=O)OCCC[N+](C)(C)CC(O)CN(CCCC)CC(O)C[N+](C)(C)CCCOC(=O)CCCCCCCCCCC.[Cl-].[Cl-],37.0,[71],cationic,10.1016/j.ces.2022.118208,10.1007/s11743-015-1749-8
