number,ref,doi
94,"N.A. Negm, F.M. Ghuiba, S.M. Tawfik, Novel isoxazolium cationic Schiff base compounds as corrosion inhibitors for carbon steel in hydrochloric acid, Corros. Sci. 53 (2011) 3566–3575. https://doi.org/https://doi.org/10.1016/j.corsci.2011.06.029.",10.1016/j.corsci.2011.06.029
95,"P. Quagliotto, G. Viscardi, C. Barolo, D. D’Angelo, E. Barni, C. Compari, E. Duce, E. Fisicaro, Synthesis and Properties of New Glucocationic Surfactants:  Model Structures for Marking Cationic Surfactants with Carbohydrates, J. Org. Chem. 70 (2005) 9857–9866. https://doi.org/10.1021/jo051579s.",10.1021/jo051579s
96,"İ. Sarıkaya, S. Bilgen, H. Akbaş, Investigation of Mixing Behavior of both a Conventional Surfactant and Different Inorganic Salts with a Cationic Gemini Surfactant in Aqueous Solution, J. Surfactants Deterg. 22 (2019) 1319–1330. https://doi.org/https://doi.org/10.1002/jsde.12346.",10.1002/jsde.12346
97,"S. Roy, D. Khatua, J. Dey, Giant vesicles of a single-tailed chiral cationic surfactant, (1R,2S)-(–)-N-dodecyl-N-methylephedrinium bromide, in water, J. Colloid Interface Sci. 292 (2005) 255–264. https://doi.org/https://doi.org/10.1016/j.jcis.2005.05.054.",10.1016/j.jcis.2005.05.054
98,"N. Negm, M. El-Hashash, D. Mohamed, J. Marquis, M. Khowdiary, Gemini Cationic Surfactants: Synthesis and Influence of Chemical Structure on the Surface Activity, J. Surfactants Deterg. 16 (2013). https://doi.org/10.1007/s11743-013-1478-9.",10.1007/s11743-013-1478-9
99,"A. Bhadani, T. Endo, K. Sakai, H. Sakai, M. Abe, Synthesis and dilute aqueous solution properties of ester functionalized cationic gemini surfactants having different ethylene oxide units as spacer, Colloid Polym. Sci. 292 (2014) 1685–1692. https://doi.org/10.1007/s00396-014-3233-9.",10.1007/s00396-014-3233-9
100,"M.A. Hegazy, S.M. Rashwan, M.M. Kamel, M.S. El Kotb, Synthesis, surface properties and inhibition behavior of novel cationic gemini surfactant for corrosion of carbon steel tubes in acidic solution, J. Mol. Liq. 211 (2015) 126–134. https://doi.org/https://doi.org/10.1016/j.molliq.2015.06.051.",10.1016/j.molliq.2015.06.051
101,"Z.-C. Miao, F. Wang, D. Deng, Y. Zhang, X. Huo, L. Wang, Preparation of Novel Gemini Quaternary Ammonium Salt Cationic Surfactant, Appl. Mech. Mater. 174–177 (2012) 1433–1436. https://doi.org/10.4028/www.scientific.net/AMM.174-177.1433.",10.4028/www.scientific.net/AMM.174-177.1433
102,"B.W. Barry, R. Wilson, C. M. C., counterion binding and thermodynamics of ethoxylated anionic and cationic surfactants, Colloid Polym. Sci. 256 (1978) 251–260. https://doi.org/10.1007/BF01550555.",10.1007/BF01550555
103,"J.C. Lim, E.K. Kang, H. Lee, B.M. Lee, Synthesis and interfacial properties of ethoxylated cationic surfactants derived from n-dodecyl glycidyl ether, J. Ind. Eng. Chem. 22 (2015) 75–82. https://doi.org/https://doi.org/10.1016/j.jiec.2014.06.027.",10.1016/j.jiec.2014.06.027
104,"T. Tatsumi, W. Zhang, T. Kida, Y. Nakatsuji, D. Ono, T. Takeda, I. Ikeda, Novel hydrolyzable and biodegradable cationic gemini surfactants: Bis(ester-ammonium) dichloride having a butenylene or a butynylene spacer, J. Surfactants Deterg. 4 (2001) 279–285. https://doi.org/10.1007/s11743-001-0180-6.",10.1007/s11743-001-0180-6
105,"T. Tatsumi, W. Zhang, Y. Nakatsuji, K. Miyake, K. Matsushima, M. Tanaka, T. Furuta, I. Ikeda, Preparation, surface-active properties, and antimicrobial activities of bis(alkylammonium) dichlorides having a butenylen or a butynylene spacer, J. Surfactants Deterg. 4 (2001) 271–277. https://doi.org/https://doi.org/10.1007/s11743-001-0179-z.",10.1007/s11743-001-0179-z
106,"Z.C. Miao, J.W. Ren, Preparation of Novel Diester Gemini Quaternary Ammonium Salt Cationic Surfactant, Adv. Mater. Res. 1004–1005 (2014) 699–702. https://doi.org/10.4028/www.scientific.net/AMR.1004-1005.699.",10.4028/www.scientific.net/AMR.1004-1005.699
107,"D.A. Samarkina, D.R. Gabdrakhmanov, S.S. Lukashenko, A.R. Khamatgalimov, V.I. Kovalenko, L.Y. Zakharova, Cationic amphiphiles bearing imidazole fragment: From aggregation properties to potential in biotechnologies, Colloids Surfaces A Physicochem. Eng. Asp. 529 (2017) 990–997. https://doi.org/https://doi.org/10.1016/j.colsurfa.2017.07.018.",10.1016/j.colsurfa.2017.07.018
108,"J. Nowicki, A. Sokołowski, D. Reksa, Synthesis and Surface Active Properties of Novel Carbohydrate-based Cationic Surfactants, J. Surfactants Deterg. 14 (2011) 179–184. https://doi.org/10.1007/s11743-010-1225-4.",10.1007/s11743-010-1225-4
109,"M.M. Shaban, A.M. Eid, R.K. Farag, N.A. Negm, A.A. Fadda, M.A. Migahed, Novel trimeric cationic pyrdinium surfactants as bi-functional corrosion inhibitors and antiscalants for API 5L X70 carbon steel against oilfield formation water, J. Mol. Liq. 305 (2020) 112817. https://doi.org/https://doi.org/10.1016/j.molliq.2020.112817.",10.1016/j.molliq.2020.112817
110,"K.A. Wilk, R. Frckowiak, J. uczynski, P. Warszynski, Cleavable Gemini Cationic Surfactants: Experimental and Theoretical Description of Adsorption, Chem. Lett. 41 (2012) 1096–1098. https://doi.org/10.1246/cl.2012.1096.",10.1246/cl.2012.1096
111,"Z. Ding, S. Fang, Synthesis, Surface and Antimicrobial Activities of Novel Cationic Gemini Surfactants, J. Surfactants Deterg. 18 (2015) 1051–1057. https://doi.org/10.1007/s11743-015-1734-2.",10.1007/s11743-015-1734-2
112,"E. Alami, G. Beinert, P. Marie, R. Zana, Alkanediyl-.alpha.,.omega.-bis(dimethylalkylammonium bromide) surfactants. 3. Behavior at the air-water interface, Langmuir. 9 (1993) 1465–1467. https://doi.org/10.1021/la00030a006.",10.1021/la00030a006
113,"N. Anoune, M. Nouiri, C. Arnaud, S. Petit, P. Lanteri, Synthesis and characterization of new cationic surfactants derived from lactic acid, J. Surfactants Deterg. 3 (2000) 381–386. https://doi.org/10.1007/s11743-000-0142-z.",10.1007/s11743-000-0142-z
114,"M. Abo-Riya, A.H. Tantawy, W. El-Dougdoug, Synthesis and evaluation of novel cationic gemini surfactants based on Guava crude fat as petroleum-collecting and dispersing agents, J. Mol. Liq. 221 (2016) 642–650. https://doi.org/https://doi.org/10.1016/j.molliq.2016.05.083.",10.1016/j.molliq.2016.05.083
115,"R.A. Rahimov, G.A. Ahmadova, S.-Z.F. Hashimzade, E. Imanov, H.G. Khasiyev, N.K. Karimova, F.I. Zubkov, Surface and Biocidal Properties of Gemini Cationic Surfactants Based on Propoxylated 1,6-Diaminohexane and Alkyl Bromides, J. Surfactants Deterg. 24 (2021) 433–444. https://doi.org/https://doi.org/10.1002/jsde.12506.",10.1002/jsde.12506
116,"A.R. Tehrani-Bagha, Cationic gemini surfactant with cleavable spacer: Emulsion stability, Colloids Surfaces A Physicochem. Eng. Asp. 508 (2016) 79–84. https://doi.org/https://doi.org/10.1016/j.colsurfa.2016.08.020.",10.1016/j.colsurfa.2016.08.020
117,"Z. Han, X. Yang, Y. Liu, Micellar and Interfacial Behavior of Mixed Systems Containing Glycoside-Based Surfactant and Cationic Didecyldimethylammonium Chloride, J. Surfactants Deterg. 18 (2015) 873–880. https://doi.org/https://doi.org/10.1007/s11743-015-1705-7.",10.1007/s11743-015-1705-7
118,"X. Wang, J. Zhu, J. Wang, G. Zeng, Micelle Formation and Aggregate Morphology Transition from Vesicle to Rod Micelle for Allyl Alkyldimethylammonium Bromide Cationic Surfactant, J. Dispers. Sci. Technol. 29 (2008) 83–88. https://doi.org/10.1080/01932690701688458.",10.1080/01932690701688458
119,"M. Pisárčik, M. Pupák, M. Lukáč, F. Devínsky, L. Hubčík, M. Bukovský, B. Horváth, The Synthesis, Self-Assembled Structures, and Microbicidal Activity of Cationic Gemini Surfactants with Branched Tridecyl Chains, Mol. . 24 (2019). https://doi.org/10.3390/molecules24234380.",10.3390/molecules24234380
120,"Q. Xu, L. Wang, F. Xing, Synthesis and Properties of Dissymmetric Gemini Surfactants, J. Surfactants Deterg. 14 (2011) 85–90. https://doi.org/10.1007/s11743-010-1207-6.",10.1007/s11743-010-1207-6
121,"M. Hegazy, E. Azzam, N. Kandile, A. Badawi, R. Sami, Corrosion Inhibition of Carbon Steel Pipelines by Some New Amphoteric and Di-cationic Surfactants in Acidic Solution by Chemical and Electrochemical Methods, J. Surfactants Deterg. 19 (2016). https://doi.org/10.1007/s11743-016-1824-9.",10.1007/s11743-016-1824-9
122,"Y. Zhang, Y. Li, Y. Song, J. Li, Properties and sodium salicylate induced aggregation behavior of a tail-branched cationic surfactant with a hydroxyl-containing hydrophilic head, RSC Adv. 5 (2015) 105952–105960. https://doi.org/10.1039/C5RA22115C.",10.1039/C5RA22115C
123,"S. Sunitha, P.S. Reddy, R.B.N. Prasad, S. Kanjilal, Synthesis and evaluation of new imidazolium-based aromatic ether functionalized cationic mono and gemini surfactants, Eur. J. Lipid Sci. Technol. 113 (2011) 756–762. https://doi.org/https://doi.org/10.1002/ejlt.201000437.",10.1002/ejlt.201000437
124,"B. Cai, X. Li, Y. Yang, J. Dong, Surface properties of Gemini surfactants with pyrrolidinium head groups, J. Colloid Interface Sci. 370 (2012) 111–116. https://doi.org/https://doi.org/10.1016/j.jcis.2011.12.025.",10.1016/j.jcis.2011.12.025
125,"A. Pinazo, M. Angelet, R. Pons, M. Lozano, M.R. Infante, L. Pérez, Lysine−Bisglycidol Conjugates as Novel Lysine Cationic Surfactants, Langmuir. 25 (2009) 7803–7814. https://doi.org/10.1021/la901675p.",10.1021/la901675p
126,"Y. Song, Q. Li, Y. Li, L. Zhi, Synthesis and Properties of Dicephalic Cationic Surfactants Containing a Quaternary Ammonium and a Guanidine Group, J. Surfactants Deterg. 16 (2013) 71–76. https://doi.org/https://doi.org/10.1007/s11743-012-1417-1.",10.1007/s11743-012-1417-1
127,"Y. Wang, Y. Gao, Q. Zhang, Q. Meng, Novel Cationic Emulsifier Used for Preparing Slow-Cracking and Rapid-Setting Asphalt: Synthesis, Surface Activity and Emulsification Ability, J. Dispers. Sci. Technol. 39 (2016). https://doi.org/10.1080/01932691.2015.1120676.",10.1080/01932691.2015.1120676
128,"Y.X. Wang, Y.Q. Cao, Q. Zhang, Q. Meng, Novel Cationic Gemini Surfactants Based on Piperazine: Synthesis, Surface Activity, and Foam Ability, J. Dispers. Sci. Technol. 37 (2016) 465–471. https://doi.org/10.1080/01932691.2014.986737.",10.1080/01932691.2014.986737
129,"Y. Karpichev, N. Jahan, N. Paul, C.P. Petropolis, T. Mercer, T.B. Grindley, D. Gerrard Marangoni, The micellar and surface properties of a unique type of two-headed surfactant - Pentaerythritol based di-cationic surfactants, J. Colloid Interface Sci. 423 (2014) 94–100. https://doi.org/10.1016/j.jcis.2014.02.017.",10.1016/j.jcis.2014.02.017
130,"X. Su, B. Wang, Z. Lu, L. Wei, Y. Feng, A New Cationic Gemini Surfmer: Synthesis and Surface Activities, J. Surfactants Deterg. 14 (2011) 73–76. https://doi.org/https://doi.org/10.1007/s11743-010-1211-x.",10.1007/s11743-010-1211-x
131,"N.A. Negm, M.F. Zaki, M.A.I. Salem, Synthesis and Evaluation of 4-Diethyl Amino Benzaldehyde Schiff Base Cationic Amphiphiles as Corrosion Inhibitors for Carbon Steel in Different Acidic Media, J. Surfactants Deterg. 12 (2009) 321–329.", 10.1007/s11743-009-1156-0
132,"Y. Song, Q. Li, Y. Li, L. Zhi, Surface and aggregation properties of heterogemini surfactants containing quaternary ammonium and guanidine moiety, Colloids Surfaces A Physicochem. Eng. Asp. 417 (2013) 236–242. https://doi.org/https://doi.org/10.1016/j.colsurfa.2012.11.004.",10.1016/j.colsurfa.2012.11.004
133,"H. Chang, Y. Cui, W. Wei, X. Li, W. Gao, X. Zhao, S. Yin, Adsorption behavior and wettability by Gemini surfactants with ester bond at polymer-solution-air systems, J. Mol. Liq. 230 (2017) 429–436. https://doi.org/https://doi.org/10.1016/j.molliq.2017.01.056.",10.1016/j.molliq.2017.01.056
134,"W. Qiao, Z. Zheng, Q. Shi, Synthesis and Properties of a Series of CO2 Switchable Surfactants with Imidazoline Group, J. Surfactants Deterg. 15 (2012). https://doi.org/10.1007/s11743-012-1332-5.",10.1007/s11743-012-1332-5
135,"Z.H. Asadov, R.A. Rahimov, S.M. Nasibova, G.A. Ahmadova, Surface Activity, Thermodynamics of Micellization and Adsorption Properties of Quaternary Salts Based on Ethanolamines and Decyl Bromide, J. Surfactants Deterg. 13 (2010) 459–464. https://doi.org/https://doi.org/10.1007/s11743-010-1180-0.",10.1007/s11743-010-1180-0
136,"S.M. Shaban, I. Aiad, M.M. El-Sukkary, E.A. Soliman, M.Y. El-Awady, Synthesis, surface, thermodynamic properties and Biological activity of dimethylaminopropylamine surfactants, J. Ind. Eng. Chem. 20 (2014) 4194–4201. https://doi.org/https://doi.org/10.1016/j.jiec.2014.01.020.",10.1016/j.jiec.2014.01.020
137,"R. Kamboj, S. Singh, A. Bhadani, H. Kataria, G. Kaur, Gemini Imidazolium Surfactants: Synthesis and Their Biophysiochemical Study, Langmuir. 28 (2012) 11969–11978. https://doi.org/10.1021/la300920p.",10.1021/la300920p
138,"N.M. Hilal, E.E. Badr, E.H. Gomaa, E.M. Kandeel, R.A. Ismail, E.M. Ahmed, Synthesis, characterization, interaction with anionic dye, biodegradability, and antimicrobial activity of cationic surfactants: quaternary hydrazinium derivatives, J. Iran. Chem. Soc. 18 (2021) 3047–3060. https://doi.org/10.1007/s13738-021-02247-3.",10.1007/s13738-021-02247-3
139,"W. Zhang, Z. Gao, H. Zhu, Q. Zhang, Mixed micellization of cationic/anionic amino acid surfactants: Synergistic effect of sodium lauroyl glutamate and alkyl tri-methyl ammonium chloride, J. Dispers. Sci. Technol. (2021) 1–13. https://doi.org/10.1080/01932691.2021.1929289.",10.1080/01932691.2021.1929289
140,"D.A. Kuznetsova, D.R. Gabdrakhmanov, D.M. Kuznetsov, S.S. Lukashenko, A.S. Sapunova, A.D. Voloshina, I.R. Nizameev, M.K. Kadirov, L.Y. Zakharova, Biocompatible supramolecular systems based on novel cationic imidazolium- and urethane-containing amphiphiles: Self-assembly and antimicrobial properties, J. Mol. Liq. 319 (2020) 114094. https://doi.org/https://doi.org/10.1016/j.molliq.2020.114094.",10.1016/j.molliq.2020.114094
141,"A. Bhadani, S. Singh, R. Kamboj, V. Chauhan, Synthesis and self aggregation properties of ester-functionalized heterocyclic pyrrolidinium surfactants, Colloid Polym. Sci. 291 (2013) 2289–2297. https://doi.org/10.1007/s00396-013-2971-4.",10.1007/s00396-013-2971-4
142,"D. Hu, X. Guo, L. Jia, Synthesis, Surface Active Properties of Novel Gemini Surfactants with Amide Groups and Rigid Spacers, J. Surfactants Deterg. 16 (2013) 913–919. https://doi.org/https://doi.org/10.1007/s11743-013-1502-0.",10.1007/s11743-013-1502-0
143,"N. V Sastry, N.M. Vaghela, P.M. Macwan, S.S. Soni, V.K. Aswal, A. Gibaud, Aggregation behavior of pyridinium based ionic liquids in water – Surface tension, 1H NMR chemical shSTs, SANS and SAXS measurements, J. Colloid Interface Sci. 371 (2012) 52–61. https://doi.org/https://doi.org/10.1016/j.jcis.2011.12.077.",10.1016/j.jcis.2011.12.077
144,"V. Chauhan, S. Singh, A. Bhadani, Synthesis, characterization and surface properties of long chain β-hydroxy-γ-alkyloxy-N-methylimidazolium surfactants, Colloids Surfaces A Physicochem. Eng. Asp. 395 (2012) 1–9. https://doi.org/https://doi.org/10.1016/j.colsurfa.2011.11.022.",10.1016/j.colsurfa.2011.11.022
145,"H. Li, C. Yu, R. Chen, J. Li, J. Li, Novel ionic liquid-type Gemini surfactants: Synthesis, surface property and antimicrobial activity, Colloids Surfaces A Physicochem. Eng. Asp. 395 (2012) 116–124. https://doi.org/https://doi.org/10.1016/j.colsurfa.2011.12.014.",10.1016/j.colsurfa.2011.12.014
146,"R. Kamboj, S. Singh, V. Chauhan, Synthesis, characterization and surface properties of N-(2-hydroxyalkyl)-N′-(2-hydroxyethyl)imidazolium surfactants, Colloids Surfaces A Physicochem. Eng. Asp. 441 (2014) 233–241. https://doi.org/https://doi.org/10.1016/j.colsurfa.2013.08.063.",10.1016/j.colsurfa.2013.08.063
147,"A. Labena, A. Hamed, E.H.I. Ismael, S.M. Shaban, Novel Gemini Cationic Surfactants: Thermodynamic, Antimicrobial Susceptibility, and Corrosion Inhibition Behavior against Acidithiobacillus ferrooxidans, J. Surfactants Deterg. 23 (2020) 991–1004. https://doi.org/https://doi.org/10.1002/jsde.12437.",10.1002/jsde.12437
148,"H.M. Abd El-Lateef, A.H. Tantawy, Synthesis and evaluation of novel series of Schiff base cationic surfactants as corrosion inhibitors for carbon steel in acidic/chloride media: experimental and theoretical investigations, RSC Adv. 6 (2016) 8681–8700. https://doi.org/10.1039/C5RA21626E.",10.1039/C5RA21626E
149,"F. abdel-salam, S. Bakr, Synthesis, Surface and Biological Activities of Cationic Surfactants Based on Glycine Moiety, Tenside Surfactants Deterg. 53 (2016) 589–594. https://doi.org/10.3139/113.110437.",10.3139/113.110437
150,"T. Yoshimura, M. Saito, K. Esumi, Solution Properties of Tadpole-type Cationic Amphiphilic Dendrimers Consisting of an Alkyl Chain, a Quaternary Ammonium, and a Poly(amidoamine) Dendron, J. Oleo Sci. 62 (2013) 213–221. https://doi.org/10.5650/jos.62.213.",10.5650/jos.62.213
151,"S.M. Shaban, I. Aiad, M.M. El-Sukkary, E.A. Soliman, M.Y. El-Awady, Surface and biological activity of N-(((dimethoxybenzylidene)amino)propyl)-N,N-dimethylalkyl-1-ammonium derivatives as cationic surfactants, J. Mol. Liq. 207 (2015) 256–265. https://doi.org/https://doi.org/10.1016/j.molliq.2015.03.043.",10.1016/j.molliq.2015.03.043
152,"K. Shinoda, T. Yamanaka, K. Kinoshita, Surface Chemical Properties in Aqueous Solutions of Non-ionic Surfactants Octyl Glycol Ether, α-Octyl Glyceryl Ether and Octyl Glucoside, J. Phys. Chem. 63 (1959) 648–650. https://doi.org/10.1021/j150575a003.",10.1021/j150575a003
153,"A. Paszternák, É. Kiss, P. Jedlovszky, Structure of the nonionic surfactant triethoxy monooctylether C8E3 adsorbed at the free water surface, as seen from surface tension measurements and Monte Carlo simulations, J. Chem. Phys. 122 (2005) 124704. https://doi.org/10.1063/1.1874872.",10.1063/1.1874872
154,"E.H. Crook, D.B. Fordyce, G.F. Trebbi, Molecular weight distribution of nonionic surfactants. I. Surface and interfacial tension of normal distribution and homogeneous p,t-octylphenoxyethoxyethanols (OPE’S), J. Phys. Chem. 67 (1963) 1987–1994. https://doi.org/10.1021/j100804a010.",10.1021/j100804a010
155,"N. Azum, M.A. Rub, A.M. Asiri, W.A. Bawazeer, Micellar and interfacial properties of amphiphilic drug–non-ionic surfactants mixed systems: Surface tension, fluorescence and UV–vis studies, Colloids Surfaces A Physicochem. Eng. Asp. 522 (2017) 183–192. https://doi.org/10.1016/j.colsurfa.2017.02.093.",10.1016/j.colsurfa.2017.02.093
156,"U. Komorek, K.A. Wilk, Surface and micellar properties of new nonionic gemini aldonamide-type surfactants, J. Colloid Interface Sci. 271 (2004) 206–211. https://doi.org/https://doi.org/10.1016/j.jcis.2003.09.020.",10.1016/j.jcis.2003.09.020
157,"Y. Wu, Y. Ma, L. He, G. Rother, W.A. Shelton, B. Bharti, Directed Pore Uptake and Phase Separation of Surfactant Solutions under Confinement, J. Phys. Chem. C. 123 (2019) 9957–9966. https://doi.org/10.1021/acs.jpcc.9b01522.",10.1021/acs.jpcc.9b01522
158,"S. Azizian, H. Motani, K. Shibata, T. Matsuda, T. Takiue, H. Matsubara, M. Aratono, Analysis of dynamic surface tension of tetraethyleneglycol monooctyl ether at air/water interface, Colloid Polym. Sci. 285 (2007) 1699–1705. https://doi.org/10.1007/s00396-007-1747-0.",10.1007/s00396-007-1747-0
159,"J.M. Corkill, J.F. Goodman, S.P. Harrold, Thermodynamics of micellization of non-ionic detergents, Trans. Faraday Soc. 60 (1964) 202–207. https://doi.org/10.1039/TF9646000202.",10.1039/TF9646000202
160,"P.H. Elworthy, A. Florence, Chemistry of non-ionic detergents - Part VIII. Critical micelle concentrations and thermodynamics of micellisation of synthetic detergents containing branched hydrocarbon chains, Kolloid-ZeitschrST ZeitschrST Für Polym. 195 (1964) 23–27. https://doi.org/10.1007/BF01500880.",10.1007/BF01500880
161,"B.A. Mulley, A.D. Metcalf, Nonionic surface-active agents. Part IV. The critical micelle concentration of some polyoxyethylene glycol monohexyl ethers in binary and ternary systems, J. Colloid Sci. 17 (1962) 523–530. https://doi.org/https://doi.org/10.1016/0095-8522(62)90020-X.",10.1016/0095-8522(62)90020-X
162,"J. Lucassen, D. Giles, Dynamic surface properties of nonionic surfactant solutions, J. Chem. Soc. Faraday Trans. 1 Phys. Chem. Condens. Phases. 71 (1975) 217–232. https://doi.org/10.1039/F19757100217.",10.1039/F19757100217
163,"R. Awang, K.W. Cheong, M. Basri, R. Ismail, R. Ghazali, S. Ahmad, Alkanolamides from 9,10-Dihydroxystearic Acid, J. Oil Palm Res. (2006).",n.d.
164,"B.W. Barry, D.I.D. Eini, Surface properties and micelle formation of long-chain polyoxyethylene nonionic surfactants, J. Colloid Interface Sci. 54 (1976) 339–347. https://doi.org/https://doi.org/10.1016/0021-9797(76)90313-1.",10.1016/0021-9797(76)90313-1
